source,slug,article_title,h2,first,status,reason,path
"json","7-taches-ia-automatiser-batiment","7 tâches que l’IA peut automatiser dans le bâtiment","En bref","L’intelligence artificielle ne remplace pas le chantier : elle réduit le temps passé sur des tâches répétitives d’écriture et d’organisation.","OK","Synthèse/définition acceptable","content/generated/article-7-taches-ia-automatiser-batiment.json"
"json","7-taches-ia-automatiser-batiment","7 tâches que l’IA peut automatiser dans le bâtiment","Questions fréquentes","Combien de temps peut-on gagner ?","OK","Synthèse/définition acceptable","content/generated/article-7-taches-ia-automatiser-batiment.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","En bref","Cet article suit en temps réel l'analyse complète d'un DCE fictif mais réaliste — lot étanchéité-bardage, marché public, maître d'ouvrage collectivité territoriale.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Le DCE de départ — présentation du marché fictif","Pour cet exemple, nous travaillons sur un appel d'offres public fictif mais représentatif des marchés que traitent les entreprises formées avec la <strong>CSFE</strong> et la <strong>FFB Île-de-France</strong>.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Étape 1 — Analyse rapide pour le GO/NO GO (8 minutes)","Avant d'investir du temps sur le chiffrage et le mémoire, le chargé d'affaires veut savoir si ce marché vaut la peine d'être traité.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Étape 2 — Analyse approfondie du CCTP (12 minutes)","Le GO est confirmé.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Étape 3 — Extraction des critères RC et plan du mémoire (10 minutes)","<strong>Résultat obtenu en 5 minutes :</strong>","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Étape 4 — Rédaction de la section la plus valorisée : Méthodologie (12 minutes)","Le chargé d'affaires fournit ses données brutes à Claude et lui demande de rédiger la section Méthodologie — celle à 25 % de la note (prompt étape 4).","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Étape 5 — Vérification cohérence mémoire / BPU (5 minutes)","Avant de déposer, le chargé d'affaires utilise Claude pour une vérification croisée rapide (prompt étape 5).","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Bilan temps total","Gain global : <strong>−91 %</strong> sur les tâches documentaires de l'AO.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Les 5 prompts du workflow (Claude Pro)","Tu es un chargé d'affaires dans une entreprise d'étanchéité et de bardage de 28 salariés en Île-de-France.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Ce que cet exemple enseigne sur la bonne utilisation de l'IA","<strong>L'IA ne remplace pas le bureau d'études.</strong> La découverte que l'AT du système habituel est expiré — c'est le chargé d'affaires qui l'a détecté en vérifiant les références produites par Claude.","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Gains de temps mesurés — appels d'offres avec l'IA","Gains de temps appels d'offres avec l'IA Tâche Sans IA Avec IA Gain GO/NO GO documenté 1 h 30 8 à 10 min −90 % Analyse CCTP (64 pages) 2 h 30 12 à 15 min −90 % Extraction critères RC + plan mémoire 1 h 8 à 10 min −85 % Rédaction section mémoire (600 mots) 1 h 30 à 2 h 10 à 15 min −85 % Vérification cohérence mémoire / BPU 1 h 5 min −90 % Total tâches documentaires AO ~8 h &lt; 1 h −90 %","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","FAQ","Peut-on utiliser ce workflow sur n'importe quel lot BTP ?","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","analyse-dce-ia-exemple-reel","Analyse DCE avec l'IA : exemple réel d'un appel d'offres bâtiment (de la réception à l'offre)","Se former à la réponse aux appels d'offres avec l'IA — OFC Création d'Entreprise","<strong>OFC Création d'Entreprise</strong> propose la formation <strong>Répondre aux appels d'offres avec l'IA (BTP-02)</strong>, une session de 4 heures 100 % finançable Constructys (plafonds et règles sur <a href=""https://www.constructys.fr"" class=""text-[#377CF3] font-medium underline"" target=""_blank"" rel=""noopener noreferrer"">constructys.fr</a>).","OK","Synthèse/définition acceptable","content/generated/article-analyse-dce-ia-exemple-reel.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741595-8","Appels d'offres BTP : l'IA comme assistant","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741595-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741595-8","Appels d'offres BTP : l'IA comme assistant","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741595-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741595-8","Appels d'offres BTP : l'IA comme assistant","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741595-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741595-8","Appels d'offres BTP : l'IA comme assistant","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741595-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741595-8","Appels d'offres BTP : l'IA comme assistant","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741595-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741595-8","Appels d'offres BTP : l'IA comme assistant","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741595-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741614-8","Appels d'offres BTP : l'IA comme assistant","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741614-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741614-8","Appels d'offres BTP : l'IA comme assistant","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741614-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741614-8","Appels d'offres BTP : l'IA comme assistant","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741614-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741614-8","Appels d'offres BTP : l'IA comme assistant","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741614-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741614-8","Appels d'offres BTP : l'IA comme assistant","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741614-8.json"
